time (seconds),x,y,z
0.001,0,0,-1023
0.028,0,0,-1023
0.054,0,0,-1023
0.075,0,0,-1023
0.101,0,0,-1023
0.127,0,0,-1023
0.148,0,0,-1023
0.21,0,0,-1023
0.27,0,0,-1023
0.3,0,0,-1023
0.36,0,0,-1023
0.42,0,0,-1023
0.45,0,0,-1023
0.51,0,0,-1023
0.57,0,0,-1023
0.6,0,0,-1023
0.66,0,0,-1023
0.69,0,0,-1023
0.75,0,0,-1023
0.81,0,0,-1023
0.84,0,0,-1023
0.9,0,0,-1023
0.96,0,0,-1023
0.99,0,0,-1023
1.05,0,0,-1023
1.11,0,0,-1023
1.14,0,0,-1023
1.2,0,0,-1023
1.26,0,0,-1023
1.29,0,0,-1023
1.35,0,0,-1023
1.41,0,0,-1023
1.44,0,0,-1023
1.5,0,0,-1023
1.56,0,0,-1023
1.59,0,0,-1023
1.651,0,0,-1023
1.71,0,0,-1023
1.74,0,0,-1023
1.8,0,0,-1023
1.86,0,0,-1023
1.89,0,0,-1023
1.95,0,0,436
2.01,47,-468,-909
2.04,310,-1023,310
2.1,310,-1023,-978
2.16,-487,1023,487
2.19,-413,869,-348
2.25,-85,-447,175
2.31,175,-1023,175
2.34,-590,420,-723
2.4,-725,651,-312
2.46,-172,-993,-176
2.49,-146,-844,-560
2.55,-171,-1023,171
2.61,-790,382,-526
2.64,-408,-619,-705
2.7,-408,-619,-705
2.76,-252,-1023,252
2.79,-637,-168,-783
2.85,-458,-702,-587
2.91,-389,-596,-735
2.94,-276,344,-924
3,-632,1023,632
3.06,-265,54,-987
3.09,168,-1000,-136
3.15,63,-621,-811
3.21,-647,1023,647
3.24,-90,-377,-947
3.3,-90,-377,-947
3.36,412,-1023,412
3.39,-540,1023,540
3.45,-584,1023,584
3.51,73,-281,-981
3.54,62,-238,-993
3.6,-41,985,-274
3.66,-84,990,-244
3.69,709,-952,602
3.75,602,-809,-173
3.809,292,400,-896
3.84,248,340,-933
3.9,392,-97,-940
3.96,690,-760,84
3.99,-154,1023,154
4.05,-154,1023,154
4.11,520,-439,-764
4.14,722,-1001,690
4.2,63,869,-537
4.26,53,738,-707
4.29,45,627,-808
4.35,45,627,-808
4.41,32,452,-918
4.44,27,384,-948
4.5,27,384,-948
4.56,18,277,-985
4.59,15,235,-996
4.651,15,235,-996
4.71,12,199,-1004
4.74,10,169,-1009
4.8,8,143,-1013
4.86,6,121,-1016
4.89,5,102,-1018
4.95,5,102,-1018
5.01,4,86,-1020
5.04,3,73,-1021
5.1,2,62,-1022
5.16,1,52,-1022
5.19,0,44,-1023
5.251,0,44,-1023
5.31,0,37,-1023
5.34,0,31,-1023
5.4,0,26,-1023
5.46,0,0,-1023
5.49,0,0,-1023
5.55,0,0,-1023
5.61,0,0,-1023
5.64,0,0,-1023
5.7,0,0,-1023
5.73,0,0,-1023
5.79,0,0,-1023
5.85,0,0,-1023
5.88,0,0,-1023
5.94,0,0,-1023
6,0,0,-1023
6.03,0,0,-1023
6.09,0,0,-1023
6.15,0,0,-1023
6.18,0,0,-1023
6.24,0,0,-1023
6.3,0,0,-1023
6.33,0,0,-1023
6.39,0,0,-1023
6.45,0,0,-1023
6.48,0,0,-1023
6.54,0,0,-1023
6.6,0,0,-1023
6.63,0,0,-1023
6.69,0,0,-1023
6.749,0,0,-1023
6.779,0,0,-1023
6.84,0,0,-1023
6.9,0,0,-1023
6.931,0,0,-1023
6.989,0,0,-1023
7.05,0,0,-1023
7.081,0,0,-1023
7.14,0,0,-1023
7.2,0,0,-1023
7.23,-240,1023,240
7.289,-184,1023,-990
7.35,328,-176,-953
7.38,466,-570,-711
7.439,382,-420,-852
7.5,-464,1023,464
7.53,-500,1023,500
7.59,480,-1023,480
7.65,480,-1023,480
7.68,-520,1023,520
7.739,-520,1023,520
7.8,104,-98,-1013
7.83,88,-83,-1016
7.89,211,307,-953
7.95,211,307,-953
7.98,770,-895,589
8.04,770,-895,589
8.1,527,-119,-869
8.13,57,1023,57
8.189,75,1023,75
8.25,990,-1023,990
8.28,132,979,-266
8.339,132,979,-266
8.4,98,907,-463
8.43,870,-985,824
8.489,962,-1023,962
8.55,-115,1023,115
8.58,839,-1023,839
8.639,839,-1023,839
8.7,807,-938,696
8.73,44,904,-477
8.789,462,-267,-873
8.85,815,-1023,815
8.88,312,172,-959
8.94,-16,1002,-206
9,101,487,-894
9.03,698,-1023,698
9.089,843,-1023,843
9.15,-40,1023,40
9.18,448,-140,-909
9.24,1023,-1023,1023
9.3,869,-869,0
9.33,734,-180,-690
9.389,714,-189,-708
9.45,714,-189,-708
9.48,895,-570,281
9.539,194,1023,194
9.6,194,1023,194
9.63,995,-1023,995
9.69,995,-1023,995
9.75,686,-301,-697
9.78,306,589,-779
9.84,260,500,-854
9.9,221,425,-904
9.93,187,361,-939
9.989,158,306,-964
10.05,134,260,-981
10.081,113,221,-993
10.139,96,187,-1002
10.2,81,158,-1008
10.231,68,134,-1012
10.29,68,134,-1012
10.35,57,113,-1016
10.38,48,96,-1018
10.439,40,81,-1020
10.5,34,68,-1021
10.531,28,57,-1022
10.59,28,57,-1022
10.65,23,48,-1022
10.68,19,40,-1023
10.739,16,34,-1023
10.77,13,28,-1023
10.831,0,0,-1023
10.889,0,0,-1023
10.92,0,0,-1023
10.98,0,0,-1023
11.039,0,0,-1023
11.07,0,0,-1023
11.13,0,0,-1023
11.189,0,0,-1023
11.22,0,0,-1023
11.28,0,0,-1023
11.34,0,0,-1023
11.37,0,0,-1023
11.43,0,0,-1023
11.489,0,0,-1023
11.52,0,0,-1023
11.58,0,0,-1023
11.639,0,0,-1023
